Country ID,Country
1,Australia
2,Austria
3,Belgium
4,British Virgin Islands
5,Cayman Islands
6,Christmas Island
7,Croatia
8,Cyprus
9,Czech Republic
10,Denmark
11,Estonia
13,Faroe Islands
14,Finland
15,France
16,Germany
17,Greece
18,Hungary
19,Iceland
20,India
21,Ireland
22,Italy
23,Latvia
24,Lithuania
25,Luxembourg
26,Mexico
27,Netherlands
28,Norway
29,Poland
30,Portugal
31,Romania
32,Russia
33,San Marino
34,Slovakia
35,Slovenia
36,Spain
37,Sweden
38,Switzerland
39,Ukraine
40,United Arab Emirates
41,United Kingdom
42,USA
12,unidentified
43,biz (.biz)
44,com (.com)
45,int (.int)
46,net (.net)
47,org (*.org)
