SKU ID,Available Colors,Available Sizes,Type,Materials,First available,In Stock?,Male or Female cut
A13,Yellow,"['S', 'L']",Shirt,Leather,2008-11-16,False,Female
A16,Grey,"['L', 'S']",Shirt,Cotton,2008-09-03,False,Female
B4,White,"['M', 'XXL']",Blouse,Denim,2008-07-26,True,Female
B17,Purple,"['XS', 'S', 'M', 'L', 'XXL', 'XL']",Dress,Denim,2008-04-03,False,Female
B8,Red,"['XL', 'S', 'L', 'M', 'XS']",Blouse,Cotton,2008-08-27,False,Male
C56,Purple,"['XXL', 'XL', 'XS', 'M']",Jacket,Wool,2008-01-17,True,Male
C57,White,"['XS', 'L', 'M']",Dress,Denim,2008-01-18,True,Female
P67,Green,"['XL', 'XS', 'L', 'S', 'XXL']",Blouse,Denim,2008-08-13,False,Female
P82,Red,['S'],Jeans,Cotton,2008-12-30,True,Male
B31,Pink,['XS'],Shirt,Wool,2008-04-23,True,Female
B21,White,"['XS', 'M', 'XL', 'XXL']",Jeans,Cotton,2008-04-24,False,Female
B24,Orange,"['S', 'M', 'XL', 'L', 'XS', 'XXL']",Shirt,Leather,2008-11-15,False,Male
B27,Orange,"['L', 'S', 'XL']",Jacket,Denim,2008-10-03,False,Male
A10,Black,['M'],Pants,Leather,2008-11-26,False,Female
P1,Black,"['S', 'XXL', 'M']",Shirt,Leather,2008-04-29,False,Male
P34,Black,"['XS', 'XL', 'M', 'L']",Dress,Denim,2008-12-24,False,Male
P33,Red,['XL'],Jeans,Denim,2008-07-26,False,Female
C4,Grey,"['XS', 'S', 'XL', 'M', 'L', 'XXL']",Jacket,Denim,2008-01-03,True,Female
C7,White,"['L', 'XXL']",Jacket,Cotton,2008-11-25,True,Male
C10,Purple,"['XL', 'L', 'M', 'XXL']",Shirt,Polyester,2008-05-03,True,Male
C17,Red,"['XXL', 'L', 'XL', 'XS', 'S']",Pants,Leather,2008-08-29,False,Female
P77,White,['L'],Jacket,Polyester,2008-04-20,True,Male
A34,Green,"['S', 'XS', 'XL', 'XXL', 'L', 'M']",Jeans,Cotton,2008-09-18,True,Male
A37,Blue,"['L', 'XXL', 'S', 'XL', 'M', 'XS']",Blouse,Leather,2008-10-04,True,Female
C25,Yellow,"['XL', 'S', 'M']",Dress,Silk,2008-12-18,False,Female
C21,Red,"['XL', 'XS', 'S']",Dress,Cotton,2008-09-18,False,Female
C15,Blue,['S'],Dress,Wool,2008-12-25,False,Male
C53,Grey,"['M', 'XXL', 'L', 'XL', 'S']",Shirt,Denim,2008-07-15,True,Female
B26,Pink,"['XXL', 'S', 'XL', 'L']",Shirt,Silk,2008-11-23,False,Female
A11,Grey,"['XXL', 'M', 'S', 'XS']",Pants,Wool,2008-06-29,True,Female
C5,Red,"['S', 'M', 'XXL']",Shirt,Silk,2008-09-26,False,Female
P60,Purple,"['XL', 'XXL', 'L', 'M', 'XS', 'S']",Dress,Denim,2008-09-07,True,Male
P56,White,"['L', 'XXL', 'XL', 'XS']",Jacket,Denim,2008-02-12,False,Male
P55,Grey,['S'],Jacket,Silk,2008-01-19,False,Female
P48,Red,"['XS', 'S', 'XL']",Jeans,Polyester,2008-09-11,True,Female
